,STATE,FEC_ID,Candidate_Name,Capped_Num_State_EC_Votes,UnCapped_Num_State_EC_Votes,Capped_EC_Standard,Capped_EC_NE_Candidate_Vote,Capped_EC_Full_Candidate_Vote,UnCapped_EC_Standard,UnCapped_EC_NE_Candidate_Vote,UnCapped_EC_Full_Candidate_Vote
0,Alabama,P80002801,McCain; John,9.0,150.0,9.0,6.0,5.0,150.0,91.0,91.0
1,Alabama,P80003338,Obama; Barack,9.0,150.0,0.0,3.0,4.0,0.0,57.0,58.0
2,Alabama,P20000527,Nader; Ralph,9.0,150.0,0.0,0.0,0.0,0.0,1.0,1.0
3,Alabama,P80005580,Barr; Bob,9.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0
4,Alabama,P80005499,Baldwin; Chuck,9.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alabama,n/a,Scattered,9.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Alaska,P80002801,McCain; John,3.0,22.0,3.0,3.0,2.0,22.0,14.0,13.0
7,Alaska,P80003338,Obama; Barack,3.0,22.0,0.0,0.0,1.0,0.0,8.0,9.0
8,Alaska,P20000527,Nader; Ralph,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alaska,n/a,Scattered,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Alaska,P80005499,Baldwin; Chuck,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alaska,P80005580,Barr; Bob,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Arizona,P80002801,McCain; John,10.0,173.0,10.0,6.0,5.0,173.0,94.0,93.0
13,Arizona,P80003338,Obama; Barack,10.0,173.0,0.0,4.0,5.0,0.0,77.0,78.0
14,Arizona,P80005580,Barr; Bob,10.0,173.0,0.0,0.0,0.0,0.0,1.0,1.0
15,Arizona,P20000527,Nader; Ralph,10.0,173.0,0.0,0.0,0.0,0.0,1.0,1.0
16,Arizona,P80004930,McKinney; Cynthia,10.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Arizona,P80005499,Baldwin; Chuck,10.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Arizona,n/a,Jay; Charles,10.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Arizona,P80005119,Allen; Jonathan,10.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Arkansas,P80002801,McCain; John,6.0,91.0,6.0,4.0,4.0,91.0,54.0,54.0
21,Arkansas,P80003338,Obama; Barack,6.0,91.0,0.0,2.0,2.0,0.0,35.0,35.0
22,Arkansas,P20000527,Nader; Ralph,6.0,91.0,0.0,0.0,0.0,0.0,1.0,1.0
23,Arkansas,P80005580,Barr; Bob,6.0,91.0,0.0,0.0,0.0,0.0,1.0,1.0
24,Arkansas,P80005499,Baldwin; Chuck,6.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Arkansas,P80004930,McKinney; Cynthia,6.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Arkansas,P80005572,La Riva; Gloria,6.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
27,California,P80003338,Obama; Barack,55.0,1133.0,55.0,34.0,34.0,1133.0,692.0,691.0
28,California,P80002801,McCain; John,55.0,1133.0,0.0,20.0,20.0,0.0,418.0,419.0
29,California,P20000527,Nader; Ralph,55.0,1133.0,0.0,1.0,1.0,0.0,9.0,9.0
30,California,P80005580,Barr; Bob,55.0,1133.0,0.0,0.0,0.0,0.0,6.0,6.0
31,California,P60003076,Keyes; Alan,55.0,1133.0,0.0,0.0,0.0,0.0,3.0,3.0
32,California,P80004930,McKinney; Cynthia,55.0,1133.0,0.0,0.0,0.0,0.0,3.0,3.0
33,California,P80000748,Paul; Ron,55.0,1133.0,0.0,0.0,0.0,0.0,2.0,2.0
